CASEID,FOLIO,REGION,MANZANA,NSE,INT_CODE,A,B,P1,SEXO1,SEXO2,SEXO3,SEXO4,SEXO5,SEXO6,SEXO7,SEXO8,SEXO9,SEXO10,SEXO11,SEXO12,SEXO13,SEXO14,SEXO15,EDAD1,EDAD2,EDAD3,EDAD4,EDAD5,EDAD6,EDAD7,EDAD8,EDAD9,EDAD10,EDAD11,EDAD12,EDAD13,EDAD14,EDAD15,ACTIV_1A,ACTIV_1B,ACTIV_1C,ACTIV2,ACTIV3,ACTIV4,ACTIV5,ACTIV6,ACTIV7,ACTIV8,ACTIV9,ACTIV10,ACTIV11,ACTIV12,ACTIV13,ACTIV14,ACTIV15,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13,REL14,REL15,P3,P3_1,P3_2,P3_3,P4,P4_1,P4_2,P4_3,P5,P6,P7,P8_1,P8_2,P9,P10,P11,P12,P13,P14,P15,P15_1,P16,P16_1,P17,P17_S,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P32_S,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P47_S,P48,P49,P50,P51,P52,P52_A,P53,P54,P54_1,P55,P56,P57,P57_S,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P72_A,P73,P73_A,P74_1,P74_2,P74_3,P74_4,P74_5,P74_6,P75,P75_A,P76,P77,P78,P78A,P79,P80,P81,P82,P83,P84,P85,P86,P86_S,P87,P88,P88_A,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P98A,P98B,P98C,P99_1,P99_2,P99_3,P99_4,P99_1A,P99_2A,P99_3A,P99_4A,P1001,P101,P102,P103,P104,P105,P106,P107_1,P107_2,P107_3,P107_4,P107_5,P107_6,P107_1A,P107_2A,P107_3A,P107_4A,P107_5A,P108,P109,P110,P111_1,P111_2,P111_3,P111_4,P111_5,P111_6,P111_7,P111_8,P111_9,P111_10,P111_11,P112,P112_1,P113,P114,P115,P116,P116A,P116ASQ,P116B,P116_A,P116_B,P117,P117_A,P118,P119,P120,P121,P1220,P122_S,P123,P124,P125
1,1398,9, ,4, ,1,62,3,1,2,1, , , , , , , , , , , , ,62,52,25, , , , , , , , , , , , ,2, , ,3,5, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,2,4, ,3,4,6,3,2,2,1,8,1,1996, ,2,9152,0,95,1,3,2,2, ,1,3,4,72,5,1994,12,9211,0,1,1,3,5,2, ,1,2,4,72,1985,5,1, , , , , , ,1,1, , , , ,1904,6114,0,1,1,2, , , , ,1,0,9,1,0,0,3,1,1,2,0, , , , , , ,2,0,4,2,1,1,2,4,3,4,0,0,1,9211,0,1,1,1,2,1969,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1994,4,1, ,12000000,2, , , , , , , , , , , ,1,1,2,1,1,2,2,2,2,2,2,2,2, ,1,1,2,4,2,4,4,16,4,2,1,2, ,1,2,8,1,9152,0,95,3,1
2,3862,13, ,4,1,1,57,4,1,2,1,1, , , , , , , , , , , ,57,56,23,22, , , , , , , , , , , ,4, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,74,7,0,2, , ,99,6,6, ,1,1,3, ,2,2,2, ,1,1976,4,2,8324,0,60,1,3,1,2, ,1,5,4,48,1,1975,21,4190,0,45,1,3,1,1,2,1,6,4,48,1963,3, , , , , , , ,1,1, , , , ,1916,110,0,75,1,4,1,2,1,7,6,6,9,6,6,9,3,1,1,2,0, , , , , , ,1,1,5,3,1,1,4,4,3,1,13,6,1,2140,0,3,1,1,2,1961,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1965,4,1, ,15000000,2, , , , , , , , , , , ,5,3,0,1,1,1,2,2,2,2,2,1,1, ,1,1,2,5,3,0, , ,0, , ,2, ,2, , , , , , , , 
3,492,13, ,4,73,1,62,2,1,1, , , , , , , , , , , , , ,62,40, , , , , , , , , , , , , ,5, , ,5, , , , , , , , , , , , , ,3, , , , , , , , , , , , , ,1, , , ,1, , ,99,6,2, ,2,2,3, ,1, , , , , , ,1,9333,0,52,2,2, ,2, , , ,4,30,5,1954,14,9333,0,52,2,2, , , , , ,4,30, ,5,1, , , , , , ,1,1, , , , ,1912,9333,0,52,2,2, , , , ,0,0,1,0,0,1,2,1,1,2,0, , , , , , ,2,0,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,10000000,2, , , , , , , , , , , ,2,2,2,1,1,2,2,2,2,2,2,2,2, ,2, ,2,5,2,4,4,16,4,2,2,2, ,1,6,2,2,9333,0,52,2,2
4,2481,3, ,4,409,1,63,3,1,2,1, , , , , , , , , , , , ,63,60,33, , , , , , , , , , , , ,4, , ,3,2, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,97,3,3,1, , ,99,2,8, ,1,4,6,3,1, , , , , , ,1,8322,0,60,1,3,1,2, ,1,5,4,48,2,1990,14,7233,0,13,1,3,1,2, ,1,7,4,48,1958,5,1, , , , , , ,2,0,5,1, ,1,0,8290,0,13,1,3,2, ,1,7,3,6,9,99,99,9,9,1,1,2,0, , , , , , ,2,0,3,2,1,1,2,3,3,1,2,6,9,7231,0,2,2,0,2,1959,3,1,1,1,2,4,2,4,4,0,0, , , , , , , , , , , ,1, ,16000000,2, , , , , , , , , , , ,6,1,6,1,1,2,2,2,1,2,1,2,2, ,1,1,2,6,3,1,1,1,1,2,1,1,6,1,2,8,1,0,0,85,4,1
5,1725,13, ,4,28,1,59,2,1,2, , , , , , , , , , , , , ,59,57, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2, , , , , , , , , , , , , ,1, , , ,1, , ,99,3,2, ,1,4,2, ,1, , , , , , ,1,7122,0,45,2,2, ,2, , , ,2,48,5,1987,11,9331,0,52,1,2, , , , , ,2,35,1954,5,1, , , , , , ,2,0,1,2, ,1,1922,9131,0,95,2,5,2, ,1,1,0,0,1,99,99,9,9,2,0,2,0, , , , , , ,2,0,2,1,2,0,3,6,2,1,0,0,1,9313,0,2,2,0,2,1962,3,3,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1970,4,1, ,7000000,2, , , , , , , , , , , ,3,2,3,2,2,2,2,2,2,2,2,2,2, ,2, ,2,2,1,5,5,25,5,2,2,2, ,2, , , , , , , , 
6,630,13, ,3,434,1,61,5,1,2,1,2,2, , , , , , , , , , ,61,51,26,23,23, , , , , , , , , , ,5, , ,3,5,5,5, , , , , , , , , , ,2,3,3,6, , , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,1,1, ,1, , , , , , ,1,7233,0,75,1,4,1,1,2,1,5,4,40,1,1968,14,8162,0,65,1,3,1,2, ,1,4,4,40,1962,5,1, , , , , , ,1,1, , , , ,1901,7122,0,45,1,2, , , , ,0,0,1,3,4,9,2,2,0,2,0, , , , , , ,2,0,3,2,1,1,6,2,3,2,3,2,9,9133,0,2,2,0,2,1971,2,3,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1975,4,1, ,0,2, , , , , , , , , , , ,4,4,8,1,1,2,2,2,2,2,2,2,2, ,2, ,1,6,3,4,4,16,4,2,2,2, ,1,4,4,1,8322,0,75,4,1
7,1928,8, ,3, ,1,63,4,1,2,2,2, , , , , , , , , , , ,63,64,39,29, , , , , , , , , , , ,4, , ,3,5,2, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,388,8,1,1, , ,99,6,1, ,1,1,3, ,2,2,2, ,1,1984,6,2,7224,0,29,1,3,1,2, ,1,7,4,56,3,1956,18,7224,0,29,1,4,1,2, ,1,7,4,56, ,3, , , , , , , ,1,1, , , , ,1920,5220,0,51,1,3,2, ,1,4,4,2,9,6,6,9,3,1,1,1,1,2,1,2,2,2, ,2,0,0,3,1,1,6,4,0,4,6,6,9,110,0,2,1,1,2,1963,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1984,4,1, ,25000000,2, , , , , , , , , , , ,5,2,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,6,3,0, , ,0, , ,2, ,2, , , , , , , , 
8,2874,6, ,5, ,1,58,3,1,2,2, , , , , , , , , , , , ,58,61,17, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,3,37,5,3,7,2,100,1,1,3, ,1, , , , , , ,1,1312,0,28,1,1, ,1, , ,2,4,60,5,1964,15,7224,0,29,1,3,1,2, ,1,6,4,50,1961,5,1, , , , , , ,1,1, , , , ,1889,1311,0,51,1,1, , , ,5,0,0,1,0,0,1,3,1,1,1,1,2,1,1,2,2, ,2,0,7,4,2,0,3,6,3,2,0,0,1,0,0,0,2,0,2,1972,4,4,2,2, , ,2,4, , , , , , , , , , , ,1,1985,4,1, ,12000000,2, , , , , , , , , , , ,8,1,8,1,1,1,2,2,2,2,2,1,2, ,1,1,2,5,3,9,9,81,9,2,2,2, ,1,4,2,1,110,0,75,4,1
9,2628,10, ,3, ,1,62,4,1,2,1,1, , , , , , , , , , , ,62,58,26,22, , , , , , , , , , , ,5, , ,3,5,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,1, , , ,1, , ,99,3,6, ,1,1,3, ,1, , , , , , ,1,5141,0,93,1,2, ,2, , , ,4,60,2,1970,17,9211,0,1,2,3,5,2, ,0,0,4,0,0,5,1, , , , , , ,1,1, , , , ,1917,9211,0,1,2,2, , , , ,0,0,1,0,0,1,3,1,1,2,0, , , , , , ,2,0,4,2,1,1,2,3,3,0, , , , , , , , , ,1999,0,0,0,1,1,4,2,4,4,0,0, , , , , , , , , , , ,1, ,15000000,2, , , , , , , , , , , ,3,1,0,1,1,2,2,2,2,2,2,2,2, ,1,1,2,4,2,1,1,1,1,1,2,2, ,2, , , , , , , , 
10,2959,10, ,3, ,1,58,4,1,2,1,2, , , , , , , , , , , ,58,58,27,70, , , , , , , , , , , ,5, , ,4,6,4, , , , , , , , , , , ,2,3,5, , , , , , , , , , , ,2,44,10,3,1, , ,99,7,6,150,1,1,3, ,1, , , , , , ,1,3310,0,80,1,4,1,2, ,1,6,4,32,1,1965,22,3310,0,80,1,4,1,2, ,1,6,4,32, ,5,1, , , , , , ,1,1, , , , ,1920,2149,0,45,1,4,1,2,1,7,13,5,9,6,6,9,3,1,1,1,1,2,1,1,1,1, ,2,0,7,4,1,1,12,3,3,1,6,6,9,4190,0,2,2,0,1,1967,1,1,2,2, , ,2,2,2,1,1,2,2,2,1,0,0,0,1,1,1975,4,1, ,30000000,2, , , , , , , , , , , ,8,3,9,1,1,1,2,2,2,1,1,1,1, ,1,2,1,5,3,2,2,4,2,1,2,2, ,1,7,6,1,8324,0,60,3,1
